shipment_id,allocation_id,campaign_id,sku,store_id,shipped_quantity,shipped_date,expected_arrival_date,carton_count,dc_id,carrier
SH-001-S-014-PEACH-001,A-001-S-014-PEACH-001,C-2026-PEACH,PEACH-001,S-014,190,2026-06-27,2026-06-29,7,DC-03,FastFreight Co
SH-002-S-014-PEACH-002,A-002-S-014-PEACH-002,C-2026-PEACH,PEACH-002,S-014,91,2026-06-26,2026-06-28,3,DC-02,QuickShip Logistics
SH-003-S-014-PEACH-003,A-003-S-014-PEACH-003,C-2026-PEACH,PEACH-003,S-014,55,2026-06-24,2026-06-28,2,DC-03,Reliable Transport
SH-004-S-014-PEACH-004,A-004-S-014-PEACH-004,C-2026-PEACH,PEACH-004,S-014,78,2026-06-22,2026-06-26,3,DC-02,Reliable Transport
SH-005-S-014-PEACH-005,A-005-S-014-PEACH-005,C-2026-PEACH,PEACH-005,S-014,38,2026-06-24,2026-06-28,1,DC-01,FastFreight Co
SH-006-S-014-PEACH-006,A-006-S-014-PEACH-006,C-2026-PEACH,PEACH-006,S-014,75,2026-06-24,2026-06-27,3,DC-01,QuickShip Logistics
SH-007-S-014-PEACH-007,A-007-S-014-PEACH-007,C-2026-PEACH,PEACH-007,S-014,79,2026-06-25,2026-06-29,3,DC-02,Reliable Transport
SH-008-S-014-PEACH-008,A-008-S-014-PEACH-008,C-2026-PEACH,PEACH-008,S-014,66,2026-06-27,2026-06-29,2,DC-02,FastFreight Co
SH-009-S-014-PEACH-009,A-009-S-014-PEACH-009,C-2026-PEACH,PEACH-009,S-014,57,2026-06-23,2026-06-27,2,DC-02,Reliable Transport
SH-010-S-014-PEACH-010,A-010-S-014-PEACH-010,C-2026-PEACH,PEACH-010,S-014,40,2026-06-24,2026-06-27,1,DC-03,QuickShip Logistics
SH-011-S-014-PEACH-011,A-011-S-014-PEACH-011,C-2026-PEACH,PEACH-011,S-014,78,2026-06-24,2026-06-27,3,DC-01,Reliable Transport
SH-012-S-014-PEACH-012,A-012-S-014-PEACH-012,C-2026-PEACH,PEACH-012,S-014,82,2026-06-25,2026-06-28,3,DC-01,Reliable Transport
SH-013-S-092-PEACH-001,A-013-S-092-PEACH-001,C-2026-PEACH,PEACH-001,S-092,198,2026-06-25,2026-06-28,8,DC-03,FastFreight Co
SH-014-S-092-PEACH-002,A-014-S-092-PEACH-002,C-2026-PEACH,PEACH-002,S-092,39,2026-06-27,2026-06-29,1,DC-03,FastFreight Co
SH-015-S-092-PEACH-003,A-015-S-092-PEACH-003,C-2026-PEACH,PEACH-003,S-092,16,2026-06-25,2026-06-27,1,DC-02,QuickShip Logistics
SH-016-S-092-PEACH-004,A-016-S-092-PEACH-004,C-2026-PEACH,PEACH-004,S-092,45,2026-06-22,2026-06-26,1,DC-01,Reliable Transport
SH-017-S-092-PEACH-005,A-017-S-092-PEACH-005,C-2026-PEACH,PEACH-005,S-092,16,2026-06-24,2026-06-27,1,DC-01,QuickShip Logistics
SH-018-S-092-PEACH-006,A-018-S-092-PEACH-006,C-2026-PEACH,PEACH-006,S-092,35,2026-06-24,2026-06-26,1,DC-02,FastFreight Co
SH-019-S-092-PEACH-007,A-019-S-092-PEACH-007,C-2026-PEACH,PEACH-007,S-092,24,2026-06-23,2026-06-26,1,DC-02,Reliable Transport
SH-020-S-092-PEACH-008,A-020-S-092-PEACH-008,C-2026-PEACH,PEACH-008,S-092,46,2026-06-25,2026-06-27,1,DC-01,QuickShip Logistics
SH-021-S-092-PEACH-009,A-021-S-092-PEACH-009,C-2026-PEACH,PEACH-009,S-092,51,2026-06-26,2026-06-28,2,DC-03,Reliable Transport
SH-022-S-092-PEACH-010,A-022-S-092-PEACH-010,C-2026-PEACH,PEACH-010,S-092,34,2026-06-25,2026-06-27,1,DC-01,FastFreight Co
SH-023-S-092-PEACH-011,A-023-S-092-PEACH-011,C-2026-PEACH,PEACH-011,S-092,40,2026-06-25,2026-06-27,1,DC-02,Reliable Transport
SH-024-S-092-PEACH-012,A-024-S-092-PEACH-012,C-2026-PEACH,PEACH-012,S-092,39,2026-06-24,2026-06-27,1,DC-02,QuickShip Logistics
SH-025-S-067-PEACH-001,A-025-S-067-PEACH-001,C-2026-PEACH,PEACH-001,S-067,213,2026-06-22,2026-06-26,8,DC-02,QuickShip Logistics
SH-026-S-067-PEACH-002,A-026-S-067-PEACH-002,C-2026-PEACH,PEACH-002,S-067,45,2026-06-23,2026-06-26,1,DC-02,FastFreight Co
SH-027-S-067-PEACH-003,A-027-S-067-PEACH-003,C-2026-PEACH,PEACH-003,S-067,80,2026-06-23,2026-06-27,3,DC-02,QuickShip Logistics
SH-028-S-067-PEACH-004,A-028-S-067-PEACH-004,C-2026-PEACH,PEACH-004,S-067,79,2026-06-23,2026-06-26,3,DC-02,FastFreight Co
SH-029-S-067-PEACH-005,A-029-S-067-PEACH-005,C-2026-PEACH,PEACH-005,S-067,38,2026-06-24,2026-06-28,1,DC-02,Reliable Transport
SH-030-S-067-PEACH-006,A-030-S-067-PEACH-006,C-2026-PEACH,PEACH-006,S-067,55,2026-06-26,2026-06-28,2,DC-01,Reliable Transport
SH-031-S-067-PEACH-007,A-031-S-067-PEACH-007,C-2026-PEACH,PEACH-007,S-067,63,2026-06-22,2026-06-26,2,DC-02,Reliable Transport
SH-032-S-067-PEACH-008,A-032-S-067-PEACH-008,C-2026-PEACH,PEACH-008,S-067,54,2026-06-24,2026-06-26,2,DC-02,QuickShip Logistics
