insight_id,category,headline,detail,metric_name,metric_value,baseline_value,lift,affected_count,impact_score,recommended_action,evidence
INS-001,pareto_concentration,47 of 100 stores (47%) drive 80% of all exceptions,47 stores account for 1287 of 1603 exceptions (80%). Exception workload is 1.7x more concentrated than the store footprint. Fixing the top stores first yields outsized backlog reduction.,exception_share_of_vital_few,0.8029,0.47,1.71,1287,3274,Assign a dedicated task force to the vital-few stores; run root-cause review per store before the next campaign phase.,"Top stores: S-011 (55), S-037 (55), S-058 (51), S-092 (46), S-018 (44)"
INS-002,regional_hotspot,North region over-indexes 1.3x on low sell through,North holds 23% of stores but generates 31% of low_sell_through exceptions (202 of 659). A 1.3x lift indicates a localized process gap rather than a systemic one.,low_sell_through_share_in_region,0.3065,0.23,1.33,202,521,Brief the North regional lead; audit the local workflow behind low sell through and retrain if needed.,202/659 low_sell_through exceptions in North; store share 23%
INS-003,regional_hotspot,North region over-indexes 1.5x on overstock risk,North holds 23% of stores but generates 35% of overstock_risk exceptions (102 of 291). A 1.5x lift indicates a localized process gap rather than a systemic one.,overstock_risk_share_in_region,0.3505,0.23,1.52,102,155,Brief the North regional lead; audit the local workflow behind overstock risk and retrain if needed.,102/291 overstock_risk exceptions in North; store share 23%
INS-004,regional_hotspot,East region over-indexes 1.3x on late photo proof,East holds 27% of stores but generates 35% of late_photo_proof exceptions (57 of 162). A 1.3x lift indicates a localized process gap rather than a systemic one.,late_photo_proof_share_in_region,0.3519,0.27,1.3,57,150,Brief the East regional lead; audit the local workflow behind late photo proof and retrain if needed.,57/162 late_photo_proof exceptions in East; store share 27%
INS-005,rebalancing_opportunity,8 SKUs in C-2026-BTS have both stockout and overstock stores - transfer candidates,"In campaign C-2026-BTS, 8 SKUs have 5 stores at stockout risk while 23 stores hold excess inventory of the same SKU. Store-to-store transfers can resolve both exposures without new intake or markdowns.",rebalancing_sku_count,8.0,0.0,0.0,109,137,Generate a transfer shortlist pairing stockout and overstock stores per SKU; validate against transit time before the campaign window closes.,"Top SKUs by combined exposure: BTS-008, BTS-007, BTS-003, BTS-005, BTS-009"
INS-006,field_rep_workload,Field rep Nora Smith over-indexes 1.9x on proof and confirmation failures,"Rep Nora Smith covers 7% of stores but accounts for 13% of confirmation and photo-proof exceptions (47 of 354). This may indicate route overload, training needs, or coverage gaps.",field_rep_exception_share,0.1328,0.069,1.93,47,132,Review Nora Smith's route load and visit schedule; rebalance store coverage or provide refresher training on proof submission.,47/354 rep-attributable exceptions vs 7% store coverage
INS-007,regional_hotspot,West region over-indexes 1.5x on stockout risk,West holds 25% of stores but generates 36% of stockout_risk exceptions (36 of 99). A 1.5x lift indicates a localized process gap rather than a systemic one.,stockout_risk_share_in_region,0.3636,0.25,1.45,36,124,Brief the West regional lead; audit the local workflow behind stockout risk and retrain if needed.,36/99 stockout_risk exceptions in West; store share 25%
INS-008,field_rep_workload,Field rep Lara Ortiz over-indexes 1.4x on proof and confirmation failures,"Rep Lara Ortiz covers 8% of stores but accounts for 11% of confirmation and photo-proof exceptions (39 of 354). This may indicate route overload, training needs, or coverage gaps.",field_rep_exception_share,0.1102,0.0805,1.37,39,99,Review Lara Ortiz's route load and visit schedule; rebalance store coverage or provide refresher training on proof submission.,39/354 rep-attributable exceptions vs 8% store coverage
INS-009,rebalancing_opportunity,6 SKUs in C-2026-FCL have both stockout and overstock stores - transfer candidates,"In campaign C-2026-FCL, 6 SKUs have 3 stores at stockout risk while 20 stores hold excess inventory of the same SKU. Store-to-store transfers can resolve both exposures without new intake or markdowns.",rebalancing_sku_count,6.0,0.0,0.0,69,87,Generate a transfer shortlist pairing stockout and overstock stores per SKU; validate against transit time before the campaign window closes.,"Top SKUs by combined exposure: FCL-002, FCL-007, FCL-010, FCL-006, FCL-004"
INS-010,regional_hotspot,East region over-indexes 1.3x on late confirmation,East holds 27% of stores but generates 36% of late_confirmation exceptions (30 of 83). A 1.3x lift indicates a localized process gap rather than a systemic one.,late_confirmation_share_in_region,0.3614,0.27,1.34,30,72,Brief the East regional lead; audit the local workflow behind late confirmation and retrain if needed.,30/83 late_confirmation exceptions in East; store share 27%
