exception_id,exception_type,upstream_rule_code,campaign_id,store_id,sku,allocation_id,confirmation_id,severity,exception_status,exception_owner,created_date,due_date,resolved_date,resolution_time_hours,resolution_type,resolution_text,waiver_reason,root_cause_category,root_cause_subcategory,parent_id,reopen_count,sla_pause_reason,sla_pause_started_at,sla_pause_max_hours,last_update_at,last_update_type,corrective_action_id,corrective_action_owner,corrective_action_deadline,corrective_action_status
EX-001,low_sell_through,EX-15,C-2026-FCL,S-040,FCL-005,A-1305-S-040-FCL-005,,watch,waived,Merchant + Planner,2026-09-29T13:15:00-05:00,2026-10-06T13:15:00-05:00,,,,,Duplicate of another tracked exception; merged into parent record.,,,,0,,,,2026-09-30T12:15:00-05:00,reassign,,,,
EX-002,quantity_mismatch,EX-05,C-2026-BTS,S-026,BTS-005,A-635-S-026-BTS-005,CONF-614-S-026-BTS-005,watch,paused,DC Operations,2026-08-01T09:30:00-05:00,2026-08-03T09:30:00-05:00,,,,,,,,,0,transit,2026-08-01T11:30:00-05:00,24,2026-08-03T10:30:00-05:00,resume,,,,
EX-003,missing_confirmation,EX-01,C-2026-PEACH,S-066,PEACH-012,A-120-S-066-PEACH-012,,watch,resolved,Field Operations,2026-07-01T07:45:00-05:00,2026-07-03T07:45:00-05:00,2026-07-02T16:15:00-05:00,33.0,reposted,Confirmation reposted by field rep after initial system error.,,supplier,quality_defect,,0,,,,2026-07-05T09:00:00-05:00,pause,,,,
EX-004,low_sell_through,EX-15,C-2026-PEACH,S-051,PEACH-009,A-237-S-051-PEACH-009,,watch,resolved,Merchant + Planner,2026-07-29T18:15:00-05:00,2026-08-05T18:15:00-05:00,2026-08-04T17:00:00-05:00,143.0,no_action_required,Within tolerance threshold; no corrective action needed.,,dc,carton_damage,,0,,,,2026-08-01T15:45:00-05:00,status_change,,,,
EX-005,low_sell_through,EX-15,C-2026-BTS,S-058,BTS-005,A-495-S-058-BTS-005,,watch,waived,Merchant + Planner,2026-08-29T12:00:00-05:00,2026-09-05T12:00:00-05:00,,,,,Waived due to system outage affecting all stores in the region that day.,,,,0,,,,2026-08-31T12:15:00-05:00,reassign,,,,
EX-006,quantity_mismatch,EX-05,C-2026-FCL,S-003,FCL-005,A-1035-S-003-FCL-005,CONF-1003-S-003-FCL-005,watch,resolved,DC Operations,2026-09-01T12:30:00-04:00,2026-09-03T12:30:00-04:00,2026-09-03T17:30:00-04:00,53.0,corrected,Quantity corrected after recount at store receiving dock.,,store,staff_absence,,0,,,,2026-09-02T09:45:00-04:00,resume,,,,
EX-007,overstock_risk,EX-13,C-2026-PEACH,S-037,PEACH-002,A-050-S-037-PEACH-002,,watch,in_progress,Merchant,2026-07-29T08:30:00-05:00,2026-08-05T08:30:00-05:00,,,,,,logistics,route_delay,,1,,,,2026-07-30T08:45:00-05:00,comment,CA-007,Jess Brooks,2026-08-09,open
EX-008,missing_photo_proof,EX-09,C-2026-PEACH,S-045,PEACH-010,A-190-S-045-PEACH-010,CONF-187-S-045-PEACH-010,watch,in_progress,Field Representative,2026-07-01T08:30:00-07:00,2026-07-03T08:30:00-07:00,,,,,,system,sync_failure,,0,,,,2026-07-03T16:30:00-07:00,reassign,CA-008,Kevin Liu,2026-07-12,resolved
EX-009,stockout_risk,EX-10,C-2026-PEACH,S-067,PEACH-007,A-031-S-067-PEACH-007,,critical,waived,Replenishment Planner,2026-07-29T18:45:00-05:00,2026-07-30T18:45:00-05:00,,,,,Store was closed for renovation; exception is not operationally actionable.,,,,0,,,,2026-08-02T14:45:00-05:00,pause,,,,
EX-010,quantity_mismatch,EX-05,C-2026-BTS,S-069,BTS-001,A-781-S-069-BTS-001,CONF-758-S-069-BTS-001,watch,paused,DC Operations,2026-08-01T16:30:00-07:00,2026-08-03T16:30:00-07:00,,,,,,,,,0,store,2026-08-01T17:15:00-07:00,48,2026-08-03T13:30:00-07:00,comment,,,,
EX-011,overstock_risk,EX-13,C-2026-FCL,S-074,FCL-007,A-1257-S-074-FCL-007,,watch,waived,Merchant,2026-09-29T13:15:00-04:00,2026-10-06T13:15:00-04:00,,,,,Within acceptable variance tolerance per revised business rules.,,,,0,,,,2026-09-30T18:15:00-04:00,pause,,,,
EX-012,overstock_risk,EX-13,C-2026-FCL,S-100,FCL-009,A-1129-S-100-FCL-009,,watch,in_progress,Merchant,2026-09-29T13:45:00-04:00,2026-10-06T13:45:00-04:00,,,,,,system,sync_failure,,0,,,,2026-10-04T14:30:00-04:00,pause,CA-012,Jess Brooks,2026-10-11,resolved
EX-013,low_sell_through,EX-15,C-2026-FCL,S-052,FCL-010,A-1400-S-052-FCL-010,,watch,in_progress,Merchant + Planner,2026-09-29T08:30:00-05:00,2026-10-06T08:30:00-05:00,,,,,,store,staff_absence,,0,,,,2026-09-29T09:00:00-05:00,status_change,CA-013,Rachel Green,2026-10-04,in_progress
EX-014,quantity_mismatch,EX-05,C-2026-FCL,S-036,FCL-008,A-1018-S-036-FCL-008,CONF-986-S-036-FCL-008,watch,closed,DC Operations,2026-09-01T07:45:00-07:00,2026-09-03T07:45:00-07:00,2026-09-02T15:45:00-07:00,32.0,reposted,Confirmation reposted by field rep after initial system error.,,forecast,demand_underestimate,,0,,,,2026-09-05T10:45:00-07:00,reassign,,,,
EX-015,low_sell_through,EX-15,C-2026-FCL,S-037,FCL-008,A-1278-S-037-FCL-008,,watch,escalated,Merchant + Planner,2026-09-29T13:15:00-05:00,2026-10-06T13:15:00-05:00,,,,,,,,,0,,,,2026-10-03T11:00:00-05:00,status_change,,,,
EX-016,overstock_risk,EX-13,C-2026-FCL,S-074,FCL-004,A-1254-S-074-FCL-004,,watch,paused,Merchant,2026-09-29T18:30:00-04:00,2026-10-06T18:30:00-04:00,,,,,,,,,0,store,2026-09-29T18:15:00-04:00,48,2026-09-30T10:45:00-04:00,status_change,,,,
EX-017,low_sell_through,EX-15,C-2026-PEACH,S-095,PEACH-006,A-294-S-095-PEACH-006,,watch,raised,Merchant + Planner,2026-07-29T07:15:00-05:00,2026-08-05T07:15:00-05:00,,,,,,,,,0,,,,2026-08-01T18:45:00-05:00,resume,,,,
EX-018,low_sell_through,EX-15,C-2026-FCL,S-072,FCL-007,A-1377-S-072-FCL-007,,watch,in_progress,Merchant + Planner,2026-09-29T09:15:00-04:00,2026-10-06T09:15:00-04:00,,,,,,store,training_gap,,0,,,,2026-10-04T13:45:00-04:00,pause,CA-018,Mark Thompson,2026-10-02,in_progress
EX-019,low_sell_through,EX-15,C-2026-BTS,S-065,BTS-009,A-709-S-065-BTS-009,,watch,raised,Merchant + Planner,2026-08-29T12:45:00-04:00,2026-09-05T12:45:00-04:00,,,,,,,,,0,,,,2026-09-02T09:00:00-04:00,reassign,,,,
EX-020,quantity_mismatch,EX-05,C-2026-BTS,S-028,BTS-005,A-625-S-028-BTS-005,CONF-605-S-028-BTS-005,watch,open,DC Operations,2026-08-01T10:00:00-07:00,2026-08-03T10:00:00-07:00,,,,,,,,,0,,,,2026-08-04T09:15:00-07:00,pause,,,,
EX-021,low_sell_through,EX-15,C-2026-FCL,S-011,FCL-004,A-1044-S-011-FCL-004,,watch,in_progress,Merchant + Planner,2026-09-29T10:30:00-05:00,2026-10-06T10:30:00-05:00,,,,,,supplier,capacity,,0,,,,2026-10-03T15:30:00-05:00,reassign,,,,
EX-022,late_setup,EX-03,C-2026-FCL,S-078,FCL-002,A-1152-S-078-FCL-002,CONF-1117-S-078-FCL-002,critical,waived,Store Manager,2026-09-12T13:30:00-05:00,2026-09-14T13:30:00-05:00,,,,,Waived due to system outage affecting all stores in the region that day.,,,,0,,,,2026-09-12T14:00:00-05:00,status_change,,,,
