exception_id,exception_type,severity,owner,region,area_manager,age_days,status,recommended_action,campaign_id,store_id,sku,allocation_id,confirmation_id,message,created_date,sla_status,priority_score
EXC-007,missing_confirmation,critical,Field Operations,South,Marcus Lee,20,open,Contact store PIC to post confirmation; verify visit completion.,C-2026-PEACH,S-079,PEACH-001,A-301-S-079-PEACH-001,,Allocation A-301-S-079-PEACH-001 (shipment SH-301-S-079-PEACH-001) has no store confirmation record.,2026-06-25,breached,390
EXC-159,quantity_mismatch,critical,DC Operations,South,David Park,18,open,Reconcile planned vs shipped vs received; initiate DC count verification.,C-2026-PEACH,S-048,PEACH-011,A-263-S-048-PEACH-011,CONF-259-S-048-PEACH-011,"Quantity mismatch for confirmation CONF-259-S-048-PEACH-011: shipped=47, received=37, variance=-10 (21.3%).",2026-06-27,breached,375
EXC-1598,unresolved_issue_sla_breach,critical,Operations Lead,West,Lisa Wong,14,in_progress,Escalate to operations lead for root-cause review.,C-2026-PEACH,S-045,PEACH-010,A-190-S-045-PEACH-010,CONF-187-S-045-PEACH-010,Issue EX-008 (missing_photo_proof) is 12 days past its SLA due date (2026-07-03T08:30:00-07:00).,2026-07-01T08:30:00-07:00,breached,375
EXC-1600,unresolved_issue_sla_breach,critical,Operations Lead,North,Jennifer Kim,14,raised,Escalate to operations lead for root-cause review.,C-2026-PEACH,S-037,PEACH-001,A-049-S-037-PEACH-001,CONF-048-S-037-PEACH-001,Issue EX-075 (quantity_mismatch) is 12 days past its SLA due date (2026-07-03T12:30:00-05:00).,2026-07-01T12:30:00-05:00,breached,390
EXC-1602,unresolved_issue_sla_breach,critical,Operations Lead,North,James Okoro,14,in_progress,Escalate to operations lead for root-cause review.,C-2026-PEACH,S-011,PEACH-001,A-061-S-011-PEACH-001,CONF-060-S-011-PEACH-001,Issue EX-088 (missing_photo_proof) is 12 days past its SLA due date (2026-07-03T16:45:00-05:00).,2026-07-01T16:45:00-05:00,breached,390
EXC-1603,unresolved_issue_sla_breach,critical,Operations Lead,North,James Okoro,14,raised,Escalate to operations lead for root-cause review.,C-2026-PEACH,S-011,PEACH-004,A-064-S-011-PEACH-004,CONF-063-S-011-PEACH-004,Issue EX-119 (missing_photo_proof) is 12 days past its SLA due date (2026-07-03T13:15:00-05:00).,2026-07-01T13:15:00-05:00,breached,375
EXC-277,missing_photo_proof,critical,Field Representative,East,Maria Rodriguez,14,open,Request field rep to re-submit photo proof within 24h.,C-2026-PEACH,S-092,PEACH-002,A-014-S-092-PEACH-002,CONF-014-S-092-PEACH-002,Confirmation CONF-014-S-092-PEACH-002 has no photo proof records.,2026-07-01,breached,375
EXC-280,missing_photo_proof,critical,Field Representative,South,Emma Wilson,13,open,Request field rep to re-submit photo proof within 24h.,C-2026-PEACH,S-016,PEACH-001,A-037-S-016-PEACH-001,CONF-037-S-016-PEACH-001,Confirmation CONF-037-S-016-PEACH-001 has no photo proof records.,2026-07-02,breached,390
EXC-276,missing_photo_proof,critical,Field Representative,North,Marcus Lee,12,open,Request field rep to re-submit photo proof within 24h.,C-2026-PEACH,S-014,PEACH-008,A-008-S-014-PEACH-008,CONF-008-S-014-PEACH-008,Confirmation CONF-008-S-014-PEACH-008 has no photo proof records.,2026-07-03,breached,375
EXC-287,missing_photo_proof,critical,Field Representative,North,Robert Taylor,12,open,Request field rep to re-submit photo proof within 24h.,C-2026-PEACH,S-099,PEACH-010,A-178-S-099-PEACH-010,CONF-176-S-099-PEACH-010,Confirmation CONF-176-S-099-PEACH-010 has no photo proof records.,2026-07-03,breached,375
