store_id,store_name,region,store_format,area_manager,field_rep,selling_area_sqft,city,state,open_date,is_active,timezone
S-001,Valley Square,North,flagship,Sarah Chen,,3571,Madison,WI,2019-10-14,True,America/Chicago
S-002,Forest District,North,standard,Robert Taylor,Greg Patel,1719,Columbus,OH,2020-12-14,True,America/Chicago
S-003,Uptown Mall,East,standard,Emma Wilson,,2036,Newark,NJ,2025-09-04,True,America/New_York
S-004,Forest Mall,East,standard,Lisa Wong,Lara Ortiz,1266,Boston,MA,2021-02-13,True,America/New_York
S-005,Valley Mall,East,standard,Emma Wilson,Hannah Brooks,1150,Hartford,CT,2021-03-15,True,America/New_York
S-006,Riverside Station,North,standard,Marcus Lee,Omar Faruk,935,Columbus,OH,2023-04-21,True,America/Chicago
S-007,Northgate District,South,standard,Jennifer Kim,Beth Morgan,1677,Charlotte,NC,2023-04-05,True,America/Chicago
S-008,Old Town Commons,South,standard,Jennifer Kim,Alex Turner,1588,Memphis,TN,2025-09-09,True,America/Chicago
S-009,Northgate Market,North,standard,Lisa Wong,Fiona Garcia,1028,Fargo,ND,2020-08-01,True,America/Chicago
S-010,Summit District,North,drive-thru,Jennifer Kim,Kevin Lee,1180,Minneapolis,MN,2020-09-25,True,America/Chicago
S-011,Plaza Market,North,drive-thru,James Okoro,Evan Reed,480,Madison,WI,2019-12-16,True,America/Chicago
S-012,Oak Market,West,drive-thru,Emma Wilson,Lara Ortiz,952,Seattle,WA,2021-12-10,True,America/Los_Angeles
S-013,Pine Mall,West,standard,Sarah Chen,Beth Morgan,2004,Phoenix,AZ,2021-01-03,True,America/Los_Angeles
S-014,Valley Galleria,North,standard,Marcus Lee,Greg Patel,1070,Madison,WI,2025-04-26,True,America/Chicago
S-015,Downtown Galleria,West,standard,James Okoro,Greg Patel,2179,Sacramento,CA,2024-12-11,True,America/Los_Angeles
S-016,Crossroads District,South,standard,Emma Wilson,Greg Patel,2135,Austin,TX,2019-04-06,True,America/Chicago
S-017,Central Commons,North,standard,Lisa Wong,Beth Morgan,1384,Des Moines,IA,2025-03-07,True,America/Chicago
S-018,Riverside Plaza,North,kiosk,Maria Rodriguez,,371,Minneapolis,MN,2018-09-03,True,America/Chicago
S-019,Southpark Square,South,standard,Robert Taylor,Mike Chen,881,Memphis,TN,2023-05-07,True,America/Chicago
S-020,Midtown Mall,East,standard,Jennifer Kim,Lara Ortiz,2072,Boston,MA,2019-09-07,True,America/New_York
S-021,Oak Galleria,South,standard,Maria Rodriguez,Dana Foster,1419,Memphis,TN,2022-11-04,True,America/Chicago
S-022,Eastgate Square,South,standard,Sarah Chen,,1216,Birmingham,AL,2025-05-28,True,America/Chicago
S-023,Harbor Center,East,flagship,James Okoro,,4072,Providence,RI,2024-09-01,True,America/New_York
S-024,Plaza Station,South,standard,Sarah Chen,Greg Patel,1103,Memphis,TN,2018-05-12,True,America/Chicago
